CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5460526315789473,0.6285714285714286
1,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.6470588235294118
2,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.48026315789473684,0.5909090909090909
3,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5,0.7058823529411765
4,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.8125
0,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.8764044943820225
1,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.9010989010989011
3,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9539473684210527,0.9418604651162791
4,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9736842105263158,0.967741935483871
0,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8651685393258427
1,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.8979591836734694
2,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8901098901098901
3,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9411764705882353
4,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9671052631578947,0.9479166666666666
0,100,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9144736842105263,0.8651685393258427
1,100,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9539473684210527,0.9263157894736842
2,100,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
3,100,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9605263157894737,0.9529411764705882
4,100,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9605263157894737,0.9381443298969072
0,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8461538461538461
1,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8686868686868687
2,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8881578947368421,0.8666666666666667
3,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8486842105263158,0.8333333333333334
4,100,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.9342105263157895,0.945054945054945
0,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7302631578947368,0.6947368421052632
1,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7763157894736842,0.77
2,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7894736842105263,0.7931034482758621
3,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7828947368421053,0.7659574468085106
4,100,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7631578947368421,0.8313253012048193
0,200,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5789473684210527,0.7333333333333333
1,200,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5197368421052632,0.7586206896551724
2,200,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.46710526315789475,0.5454545454545454
3,200,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5657894736842105,0.7073170731707317
4,200,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.506578947368421,0.8636363636363636
0,200,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9473684210526315,0.9069767441860465
1,200,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9157894736842105
2,200,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.8631578947368421
3,200,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9210526315789473,0.9176470588235294
4,200,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9736842105263158,0.967741935483871
0,200,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8837209302325582
1,200,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9148936170212766
2,200,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.881578947368421,0.9012345679012346
3,200,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8736842105263158
4,200,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9666666666666667
0,200,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.8928571428571429
1,200,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9013157894736842,0.8613861386138614
2,200,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9276315789473685,0.8913043478260869
3,200,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9078947368421053,0.8791208791208791
4,200,100,0.001,0.1,dropedge,0.2,"(512, 256, 128, 64)",0.9539473684210527,0.9772727272727273
0,200,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8223684210526315,0.8072289156626506
1,200,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8355263157894737,0.8461538461538461
2,200,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.875,0.8555555555555555
3,200,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8552631578947368,0.8765432098765432
4,200,100,0.001,0.1,dropedge,0.5,"(512, 256, 128, 64)",0.8618421052631579,0.926829268292683
0,200,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.618421052631579,0.5943396226415094
1,200,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.6907894736842105,0.6880733944954128
2,200,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.6513157894736842,0.6530612244897959
3,200,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.7039473684210527,0.6938775510204082
4,200,100,0.001,0.1,dropedge,0.8,"(512, 256, 128, 64)",0.6710526315789473,0.6990291262135923
0,300,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.75,0.803030303030303
