CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5460526315789473,0.6285714285714286
1,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.6470588235294118
2,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.48026315789473684,0.5909090909090909
3,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5,0.7058823529411765
4,100,100,0.001,0.1,drophyperedge,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.8125
0,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.8863636363636364
1,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.9148936170212766
2,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.8913043478260869
3,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9539473684210527,0.9318181818181818
4,100,100,0.001,0.1,drophyperedge,0.01,"(512, 256, 128, 64)",0.9736842105263158,0.9578947368421052
0,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8478260869565217
1,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.90625
2,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9285714285714286
3,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9418604651162791
4,100,100,0.001,0.1,drophyperedge,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9375
0,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.8666666666666667
1,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9407894736842105,0.9157894736842105
2,100,100,0.001,0.1,drophyperedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
