CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5460526315789473,0.6285714285714286
1,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.6470588235294118
2,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.48026315789473684,0.5909090909090909
3,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5,0.7058823529411765
4,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.8125
0,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.78125
1,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8602150537634409
2,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8588235294117647
3,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.7763157894736842,0.7816091954022989
4,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8804347826086957
0,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7828947368421053,0.7272727272727273
1,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8355263157894737,0.8247422680412371
2,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8705882352941177
3,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.7916666666666666
4,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.8494623655913979
0,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.756578947368421,0.759493670886076
1,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8666666666666667
2,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8452380952380952
3,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8144329896907216
4,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8026315789473685,0.8351648351648352
0,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.881578947368421,0.8333333333333334
1,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.8854166666666666
2,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8695652173913043
3,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.896551724137931
4,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9130434782608695
