CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,MLP Architecture,Test Accuracy,Test Precision
0,50,50,0.001,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.7551020408163265
1,50,50,0.001,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.851063829787234
2,50,50,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8809523809523809
3,50,50,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
4,50,50,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8673469387755102
0,50,50,0.001,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.7916666666666666
1,50,50,0.001,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,50,50,0.001,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.9069767441860465
3,50,50,0.001,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.8260869565217391
4,50,50,0.001,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.9032258064516129
0,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9013157894736842,0.8461538461538461
1,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9671052631578947,0.9431818181818182
3,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8791208791208791
4,50,50,0.001,0.1,"(512, 256, 128, 64)",0.42105263157894735,0.5882352941176471
0,50,50,0.01,0.001,"(512, 256, 128, 64)",0.7960526315789473,0.7473684210526316
1,50,50,0.01,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8181818181818182
2,50,50,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8831168831168831
3,50,50,0.01,0.001,"(512, 256, 128, 64)",0.75,0.7647058823529411
4,50,50,0.01,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.8144329896907216
0,50,50,0.01,0.01,"(512, 256, 128, 64)",0.7960526315789473,0.7326732673267327
1,50,50,0.01,0.01,"(512, 256, 128, 64)",0.881578947368421,0.8723404255319149
2,50,50,0.01,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.9069767441860465
3,50,50,0.01,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8111111111111111
4,50,50,0.01,0.01,"(512, 256, 128, 64)",0.875,0.8829787234042553
0,50,50,0.01,0.1,"(512, 256, 128, 64)",0.8421052631578947,0.78125
1,50,50,0.01,0.1,"(512, 256, 128, 64)",0.875,0.8349514563106796
2,50,50,0.01,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9
3,50,50,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.9166666666666666
4,50,50,0.01,0.1,"(512, 256, 128, 64)",0.40789473684210525,0.5384615384615384
0,50,50,0.1,0.001,"(512, 256, 128, 64)",0.6381578947368421,0.5950413223140496
1,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5855263157894737,0.5827814569536424
2,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,50,0.1,0.01,"(512, 256, 128, 64)",0.42105263157894735,0.0
2,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,50,0.1,0.1,"(512, 256, 128, 64)",0.5197368421052632,0.5167785234899329
1,50,50,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,50,0.1,0.1,"(512, 256, 128, 64)",0.5526315789473685,0.5496688741721855
3,50,50,0.1,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.8181818181818182
4,50,50,0.1,0.1,"(512, 256, 128, 64)",0.40131578947368424,0.0
0,50,100,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8
