CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.01,dropedge,0.0,"(512, 256, 128, 64)",0.7302631578947368,0.7228915662650602
1,100,100,0.001,0.01,dropedge,0.0,"(512, 256, 128, 64)",0.8355263157894737,0.8795180722891566
2,100,100,0.001,0.01,dropedge,0.0,"(512, 256, 128, 64)",0.8092105263157895,0.8648648648648649
3,100,100,0.001,0.01,dropedge,0.0,"(512, 256, 128, 64)",0.8026315789473685,0.8271604938271605
4,100,100,0.001,0.01,dropedge,0.0,"(512, 256, 128, 64)",0.868421052631579,0.9080459770114943
0,100,100,0.001,0.01,dropedge,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.7549019607843137
1,100,100,0.001,0.01,dropedge,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,100,100,0.001,0.01,dropedge,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.9259259259259259
3,100,100,0.001,0.01,dropedge,0.01,"(512, 256, 128, 64)",0.875,0.8478260869565217
4,100,100,0.001,0.01,dropedge,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.8979591836734694
0,100,100,0.001,0.01,dropedge,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.7549019607843137
1,100,100,0.001,0.01,dropedge,0.1,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,100,100,0.001,0.01,dropedge,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8941176470588236
3,100,100,0.001,0.01,dropedge,0.1,"(512, 256, 128, 64)",0.8552631578947368,0.8210526315789474
4,100,100,0.001,0.01,dropedge,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.9157894736842105
0,100,100,0.001,0.01,dropedge,0.2,"(512, 256, 128, 64)",0.8092105263157895,0.7425742574257426
1,100,100,0.001,0.01,dropedge,0.2,"(512, 256, 128, 64)",0.9144736842105263,0.8865979381443299
2,100,100,0.001,0.01,dropedge,0.2,"(512, 256, 128, 64)",0.9013157894736842,0.9146341463414634
3,100,100,0.001,0.01,dropedge,0.2,"(512, 256, 128, 64)",0.8421052631578947,0.8105263157894737
4,100,100,0.001,0.01,dropedge,0.2,"(512, 256, 128, 64)",0.9078947368421053,0.8969072164948454
0,100,100,0.001,0.01,dropedge,0.5,"(512, 256, 128, 64)",0.8355263157894737,0.7849462365591398
1,100,100,0.001,0.01,dropedge,0.5,"(512, 256, 128, 64)",0.8881578947368421,0.8736842105263158
2,100,100,0.001,0.01,dropedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9146341463414634
3,100,100,0.001,0.01,dropedge,0.5,"(512, 256, 128, 64)",0.8289473684210527,0.8202247191011236
4,100,100,0.001,0.01,dropedge,0.5,"(512, 256, 128, 64)",0.8947368421052632,0.8947368421052632
0,100,100,0.001,0.01,dropedge,0.8,"(512, 256, 128, 64)",0.8289473684210527,0.782608695652174
1,100,100,0.001,0.01,dropedge,0.8,"(512, 256, 128, 64)",0.8486842105263158,0.8421052631578947
2,100,100,0.001,0.01,dropedge,0.8,"(512, 256, 128, 64)",0.875,0.9
3,100,100,0.001,0.01,dropedge,0.8,"(512, 256, 128, 64)",0.8026315789473685,0.8117647058823529
4,100,100,0.001,0.01,dropedge,0.8,"(512, 256, 128, 64)",0.8486842105263158,0.8695652173913043
0,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.625,0.6842105263157895
1,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5131578947368421,0.7916666666666666
2,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.4934210526315789,0.6363636363636364
3,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.75
4,100,100,0.001,0.1,dropedge,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.8333333333333334
0,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.8764044943820225
1,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.9010989010989011
3,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9539473684210527,0.9418604651162791
4,100,100,0.001,0.1,dropedge,0.01,"(512, 256, 128, 64)",0.9736842105263158,0.967741935483871
0,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8651685393258427
1,100,100,0.001,0.1,dropedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.8979591836734694
