CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.01,drophyperedge,0.0,"(512, 256, 128, 64)",0.7302631578947368,0.7228915662650602
1,100,100,0.001,0.01,drophyperedge,0.0,"(512, 256, 128, 64)",0.8355263157894737,0.8795180722891566
2,100,100,0.001,0.01,drophyperedge,0.0,"(512, 256, 128, 64)",0.8092105263157895,0.8648648648648649
3,100,100,0.001,0.01,drophyperedge,0.0,"(512, 256, 128, 64)",0.8026315789473685,0.8271604938271605
4,100,100,0.001,0.01,drophyperedge,0.0,"(512, 256, 128, 64)",0.868421052631579,0.9080459770114943
0,100,100,0.001,0.01,drophyperedge,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.7475728155339806
1,100,100,0.001,0.01,drophyperedge,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,100,100,0.001,0.01,drophyperedge,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.9036144578313253
3,100,100,0.001,0.01,drophyperedge,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8387096774193549
4,100,100,0.001,0.01,drophyperedge,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.90625
0,100,100,0.001,0.01,drophyperedge,0.1,"(512, 256, 128, 64)",0.8421052631578947,0.7755102040816326
1,100,100,0.001,0.01,drophyperedge,0.1,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,100,100,0.001,0.01,drophyperedge,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.9058823529411765
3,100,100,0.001,0.01,drophyperedge,0.1,"(512, 256, 128, 64)",0.875,0.8478260869565217
4,100,100,0.001,0.01,drophyperedge,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9166666666666666
0,100,100,0.001,0.01,drophyperedge,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.7676767676767676
1,100,100,0.001,0.01,drophyperedge,0.2,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,100,100,0.001,0.01,drophyperedge,0.2,"(512, 256, 128, 64)",0.9144736842105263,0.9166666666666666
3,100,100,0.001,0.01,drophyperedge,0.2,"(512, 256, 128, 64)",0.875,0.8555555555555555
4,100,100,0.001,0.01,drophyperedge,0.2,"(512, 256, 128, 64)",0.9210526315789473,0.9157894736842105
0,100,100,0.001,0.01,drophyperedge,0.5,"(512, 256, 128, 64)",0.8355263157894737,0.7731958762886598
1,100,100,0.001,0.01,drophyperedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,100,100,0.001,0.01,drophyperedge,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9146341463414634
3,100,100,0.001,0.01,drophyperedge,0.5,"(512, 256, 128, 64)",0.875,0.8478260869565217
4,100,100,0.001,0.01,drophyperedge,0.5,"(512, 256, 128, 64)",0.9210526315789473,0.9072164948453608
0,100,100,0.001,0.01,drophyperedge,0.8,"(512, 256, 128, 64)",0.8289473684210527,0.782608695652174
1,100,100,0.001,0.01,drophyperedge,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.8673469387755102
2,100,100,0.001,0.01,drophyperedge,0.8,"(512, 256, 128, 64)",0.9144736842105263,0.9166666666666666
3,100,100,0.001,0.01,drophyperedge,0.8,"(512, 256, 128, 64)",0.8289473684210527,0.8202247191011236
4,100,100,0.001,0.01,drophyperedge,0.8,"(512, 256, 128, 64)",0.881578947368421,0.8924731182795699
0,100,100,0.001,0.05,drophyperedge,0.0,"(512, 256, 128, 64)",0.4934210526315789,0.5161290322580645
1,100,100,0.001,0.05,drophyperedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.6923076923076923
2,100,100,0.001,0.05,drophyperedge,0.0,"(512, 256, 128, 64)",0.4407894736842105,0.4375
3,100,100,0.001,0.05,drophyperedge,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.6
4,100,100,0.001,0.05,drophyperedge,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.8125
0,100,100,0.001,0.05,drophyperedge,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8369565217391305
1,100,100,0.001,0.05,drophyperedge,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9247311827956989
2,100,100,0.001,0.05,drophyperedge,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.8888888888888888
3,100,100,0.001,0.05,drophyperedge,0.01,"(512, 256, 128, 64)",0.9210526315789473,0.898876404494382
4,100,100,0.001,0.05,drophyperedge,0.01,"(512, 256, 128, 64)",0.9605263157894737,0.9473684210526315
0,100,100,0.001,0.05,drophyperedge,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8555555555555555
1,100,100,0.001,0.05,drophyperedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9148936170212766
2,100,100,0.001,0.05,drophyperedge,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9101123595505618
3,100,100,0.001,0.05,drophyperedge,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8804347826086957
