CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.01,dropnode,0.0,"(512, 256, 128, 64)",0.7302631578947368,0.7228915662650602
1,100,100,0.001,0.01,dropnode,0.0,"(512, 256, 128, 64)",0.8355263157894737,0.8795180722891566
2,100,100,0.001,0.01,dropnode,0.0,"(512, 256, 128, 64)",0.8092105263157895,0.8648648648648649
3,100,100,0.001,0.01,dropnode,0.0,"(512, 256, 128, 64)",0.8026315789473685,0.8271604938271605
4,100,100,0.001,0.01,dropnode,0.0,"(512, 256, 128, 64)",0.868421052631579,0.9080459770114943
0,100,100,0.001,0.01,dropnode,0.01,"(512, 256, 128, 64)",0.8157894736842105,0.7551020408163265
1,100,100,0.001,0.01,dropnode,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.8333333333333334
2,100,100,0.001,0.01,dropnode,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.875
3,100,100,0.001,0.01,dropnode,0.01,"(512, 256, 128, 64)",0.7894736842105263,0.8
4,100,100,0.001,0.01,dropnode,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8817204301075269
0,100,100,0.001,0.01,dropnode,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.7684210526315789
1,100,100,0.001,0.01,dropnode,0.1,"(512, 256, 128, 64)",0.8421052631578947,0.8333333333333334
2,100,100,0.001,0.01,dropnode,0.1,"(512, 256, 128, 64)",0.8552631578947368,0.8765432098765432
3,100,100,0.001,0.01,dropnode,0.1,"(512, 256, 128, 64)",0.7631578947368421,0.7764705882352941
4,100,100,0.001,0.01,dropnode,0.1,"(512, 256, 128, 64)",0.8552631578947368,0.8556701030927835
0,100,100,0.001,0.01,dropnode,0.2,"(512, 256, 128, 64)",0.8289473684210527,0.7708333333333334
1,100,100,0.001,0.01,dropnode,0.2,"(512, 256, 128, 64)",0.868421052631579,0.8617021276595744
2,100,100,0.001,0.01,dropnode,0.2,"(512, 256, 128, 64)",0.8618421052631579,0.8780487804878049
3,100,100,0.001,0.01,dropnode,0.2,"(512, 256, 128, 64)",0.8092105263157895,0.7934782608695652
4,100,100,0.001,0.01,dropnode,0.2,"(512, 256, 128, 64)",0.868421052631579,0.8736842105263158
0,100,100,0.001,0.01,dropnode,0.5,"(512, 256, 128, 64)",0.8157894736842105,0.7604166666666666
1,100,100,0.001,0.01,dropnode,0.5,"(512, 256, 128, 64)",0.875,0.8631578947368421
2,100,100,0.001,0.01,dropnode,0.5,"(512, 256, 128, 64)",0.875,0.9102564102564102
3,100,100,0.001,0.01,dropnode,0.5,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
4,100,100,0.001,0.01,dropnode,0.5,"(512, 256, 128, 64)",0.881578947368421,0.9010989010989011
0,100,100,0.001,0.01,dropnode,0.8,"(512, 256, 128, 64)",0.8355263157894737,0.7676767676767676
1,100,100,0.001,0.01,dropnode,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.8829787234042553
2,100,100,0.001,0.01,dropnode,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.9135802469135802
3,100,100,0.001,0.01,dropnode,0.8,"(512, 256, 128, 64)",0.8552631578947368,0.8144329896907216
4,100,100,0.001,0.01,dropnode,0.8,"(512, 256, 128, 64)",0.9078947368421053,0.9052631578947369
0,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5723684210526315,0.696969696969697
1,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5,0.7727272727272727
2,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4868421052631579,0.6190476190476191
3,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5197368421052632,0.7083333333333334
4,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5131578947368421,0.7741935483870968
0,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.78125
1,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8602150537634409
2,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8588235294117647
3,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.7763157894736842,0.7816091954022989
4,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8804347826086957
0,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7828947368421053,0.7272727272727273
1,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8355263157894737,0.8247422680412371
2,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8705882352941177
3,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.7916666666666666
4,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.8494623655913979
0,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.756578947368421,0.759493670886076
1,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8666666666666667
2,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8452380952380952
3,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8144329896907216
4,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8026315789473685,0.8351648351648352
0,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.881578947368421,0.8333333333333334
1,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.8854166666666666
2,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8695652173913043
3,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.896551724137931
4,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9130434782608695
0,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.881578947368421,0.8409090909090909
1,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9276315789473685,0.8969072164948454
2,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9013157894736842,0.8541666666666666
3,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
4,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9473684210526315,0.9368421052631579
0,100,100,0.001,0.5,dropnode,0.0,"(512, 256, 128, 64)",0.5197368421052632,0.6190476190476191
1,100,100,0.001,0.5,dropnode,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.5909090909090909
2,100,100,0.001,0.5,dropnode,0.0,"(512, 256, 128, 64)",0.4342105263157895,0.3333333333333333
3,100,100,0.001,0.5,dropnode,0.0,"(512, 256, 128, 64)",0.5131578947368421,0.6666666666666666
4,100,100,0.001,0.5,dropnode,0.0,"(512, 256, 128, 64)",0.4934210526315789,0.8181818181818182
0,100,100,0.001,0.5,dropnode,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.7741935483870968
1,100,100,0.001,0.5,dropnode,0.01,"(512, 256, 128, 64)",0.7828947368421053,0.7956989247311828
2,100,100,0.001,0.5,dropnode,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
3,100,100,0.001,0.5,dropnode,0.01,"(512, 256, 128, 64)",0.6973684210526315,0.7032967032967034
4,100,100,0.001,0.5,dropnode,0.01,"(512, 256, 128, 64)",0.75,0.7789473684210526
0,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.6052631578947368,0.6666666666666666
1,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.651685393258427
2,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.5723684210526315,0.6097560975609756
3,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.5921052631578947,0.5945945945945946
4,100,100,0.001,0.5,dropnode,0.1,"(512, 256, 128, 64)",0.6052631578947368,0.6781609195402298
0,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.5723684210526315,0.6382978723404256
1,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.6842105263157895,0.6818181818181818
2,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.5789473684210527,0.6610169491525424
3,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.625,0.6226415094339622
4,100,100,0.001,0.5,dropnode,0.2,"(512, 256, 128, 64)",0.6513157894736842,0.7317073170731707
0,100,100,0.001,0.5,dropnode,0.5,"(512, 256, 128, 64)",0.7236842105263158,0.68
