,model,data,depth,epochs,best_val_accuracy,test_accuracy,drop_method,drop_rate,oversmoothing,val_accuracy
0,HGNNP,CocitationCora,1,0,0.16861370205879211,0.16861370205879211,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
1,HGNNP,CocitationCora,1,20,0.22313083708286285,0.1962616890668869,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
2,HGNNP,CocitationCora,1,40,0.30451712012290955,0.30451712012290955,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
3,HGNNP,CocitationCora,1,60,0.4057632386684418,0.4057632386684418,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
4,HGNNP,CocitationCora,1,80,0.4388629198074341,0.4388629198074341,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
5,HGNNP,CocitationCora,1,100,0.44509345293045044,0.44509345293045044,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
6,HGNNP,CocitationCora,1,120,0.4462616741657257,0.4462616741657257,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
7,HGNNP,CocitationCora,1,140,0.4462616741657257,0.44042056798934937,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
8,HGNNP,CocitationCora,1,160,0.4462616741657257,0.440809965133667,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
9,HGNNP,CocitationCora,1,180,0.4462616741657257,0.42951712012290955,no dropout,0.5,"[60.41443634033203, 23516.1875, 28027.466796875, 22738.708984375, 18646.3203125, 15735.5107421875, 13178.6103515625, 11137.3828125, 9562.2451171875, 8369.703125, 7480.11376953125, 6858.89599609375, 6429.0439453125, 6148.2978515625, 5881.54541015625, 5693.51611328125, 5477.4619140625, 5281.3388671875, 5152.67236328125, 4919.94970703125]","[0.16861370205879211, 0.22313083708286285, 0.1962616890668869, 0.23987539112567902, 0.30451712012290955, 0.35163551568984985, 0.4057632386684418, 0.4306853711605072, 0.4388629198074341, 0.4447040557861328, 0.44509345293045044, 0.4462616741657257, 0.4462616741657257, 0.43691587448120117, 0.44042056798934937, 0.440809965133667, 0.440809965133667, 0.4291277229785919, 0.42951712012290955, 0.4338006377220154]"
